flight_id,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,airlineName,isFreighter,productionLine,ageYears,manufacturer
EZY78ED_20180905,440181,OE-LQG,A319,EDDB,EDDF,LFBO,EDDF,smoke_burn_smell_flames,diverted,unknown,4bd4c17b,smoke_burn_smell_flames,diverted,unknown,EasyJet Europe,False,Airbus A319,15.1,Airbus
FPO01G_20180907,396674,F-GZTU,B737,LFPG,LFBD,LFRS,LFBD,unclear,diverted,unknown,,,,,ASL Airlines France,False,Boeing 737 NG,20.6,Boeing
EZY8581_20180907,44014a,OE-IJB,A320,EGKK,LFPG,LEBL,LFPG,technical,diverted,unknown,,,,,EasyJet Europe,False,Airbus A320,9.6,Airbus
SWR1249_20180908,4b1801,HB-JCJ,BCS3,ESSA,LSZH,LSZH,,engine,planned,unknown,4bd699d2,engine,planned,unknown,Delta Air Lines,False,Airbus A220,6.8,Airbus
BEL515_20180911,44ccd5,OO-SFU,A332,EBBR,EBBR,KIAD,EBBR,technical,return,unknown,4bd8d7c0,instrument,return,unknown,Brussels Airlines,False,Airbus A330,24.8,Airbus
JBU741_20180913,a898a9,N653JB,A320,KBOS,,KSRQ,,,,,,,,,JetBlue Airways,False,Airbus A320,17.8,Airbus
ARG1478_20180916,e071d1,LV-GGQ,B738,SANT,SABE,SABE,,,,,,,,,Aerolineas Argentinas,False,Boeing 737 NG,8.5,Boeing
LAN706_20180918,e80451,CC-BGK,B789,SCEL,,LEMD,,,,,,,,,LATAM Chile,False,Boeing 787,8.6,Boeing
AFR474_20180918,3949ef,F-GSPP,B772,LFPG,LFPG,MPTO,LFPG,smoke_burn_smell_flames,return,unknown,4bdd92f0,smoke_burn_smell_flames,return,unknown,Air France,False,Boeing 777,23.8,Boeing
AFR474_20180918,3949ef,F-GSPP,B772,LFPG,LFPG,MPTO,LFPG,smoke_burn_smell_flames,return,unknown,4bdd92f0,smoke_burn_smell_flames,return,unknown,Air France,False,Boeing 777,23.8,Boeing
AFR459_20190423,3949ef,F-GSPP,B772,SBGR,,LFPG,,,,,,,,,Air France,False,Boeing 777,23.8,Boeing
GSW1427_20180424,4b1936,HB-JOG,A319,GMAD,LSZH,LSZH,,,,,,,,,Chair Airlines,False,Airbus A319,15.7,Airbus
AFR459_20190423,3949ef,F-GSPP,B772,SBGR,,LFPG,,,,,,,,,Air France,False,Boeing 777,23.8,Boeing
UAL2421_20180918,aa56b5,N76516,B738,KIAH,KLAS,KLAS,,,,,,,,,United Airlines,False,Boeing 737 NG,16.2,Boeing
UAL1640_20180918,a05a25,N12125,B752,KLAX,KDEN,KEWR,KDEN,unclear,diverted,unknown,4bdd9121,smoke_burn_smell_flames,diverted,unknown,United Airlines,False,Boeing 757,26.8,Boeing
UAL102_20180919,a8dd7b,N670UA,B763,KIAH,,EDDM,,,,,,,,,United Airlines,False,Boeing 767,25.3,Boeing
