flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,id,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,registrations
EXS6903_20191003,EXS6903,LS6903,400f4c,G-LSAE,B752,EPKK,EGPH,EGPH,,landing_gear,planned,unknown,,,,,5985,True,24135,400F4C,Jet2,752,B752,B752,B757-27B,235.0,1988-02-19,1988-02-19,1988-03-09,2006-09-25,Boeing 757-200,2.0,Jet,False,Boeing 757,36.8,True,13,"[{'reg': 'G-LSAE', 'active': True, 'hexIcao': '400F4C', 'airlineName': 'Jet2', 'registrationDate': '2006-09-25'}, {'reg': 'OM-SNA', 'active': False, 'airlineName': 'Air Slovakia', 'registrationDate': '2004-08-04'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Air Holland', 'registrationDate': '2000-06-29'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Spanair', 'registrationDate': '1999-10-30'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Air Holland', 'registrationDate': '1998-05-18'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Dinar Lineas Aereas', 'registrationDate': '1998-03-05'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Air Holland', 'registrationDate': '1997-03-15'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Icelandair', 'registrationDate': '1996-12-20'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Air Holland', 'registrationDate': '1991-04-11'}, {'reg': 'OY-SHE', 'active': False, 'airlineName': 'Sterling Airways', 'registrationDate': '1990-10-08'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Air Holland', 'registrationDate': '1990-04-10'}, {'reg': 'OY-SHE', 'active': False, 'airlineName': 'Sterling Airways', 'registrationDate': '1989-10-25'}, {'reg': 'PH-AHE', 'active': False, 'airlineName': 'Air Holland', 'registrationDate': '1988-03-09'}]"
SHT6P_20191003,SHT6P,BA1496,4008ae,G-EUPO,A319,EGLL,EGLL,EGPF,EGLL,unclear,return,unknown,,,,,1467,True,1279,4008AE,British Airways,319,A319,A319,319-131,143.0,2000-07-03,2000-07-03,2000-08-01,2000-08-01,Airbus A319,2.0,Jet,False,Airbus A319,24.4,True,1,"[{'reg': 'G-EUPO', 'active': True, 'hexIcao': '4008AE', 'airlineName': 'British Airways', 'registrationDate': '2000-08-01'}]"
BAW241R_20191005,BAW241R,BA2591,400834,G-MIDX,A320,LIBD,LFSB,EGKK,LFSB,smoke_burn_smell_flames,diverted,unknown,4cda895e,smoke_burn_smell_flames,diverted,unknown,1136,False,1177,400834,British Airways,320,A320,A320,320-232,180.0,2000-02-09,2000-02-09,2000-03-21,2012-11-01,Airbus A320,2.0,Jet,False,Airbus A320,24.8,True,3,"[{'reg': 'G-MIDX', 'active': False, 'hexIcao': '400834', 'airlineName': 'British Airways', 'registrationDate': '2012-11-01'}, {'reg': 'G-MIDX', 'active': False, 'airlineName': 'bmi', 'registrationDate': '2001-02-01'}, {'reg': 'G-MIDX', 'active': False, 'hexIcao': '400834', 'airlineName': 'British Airways', 'registrationDate': '2000-03-21'}]"
UAL881_20191006,UAL881,UA881,a1d8fd,N218UA,B772,KORD,,RJAA,,,,,,,,,10210,True,30222,A1D8FD,United Airlines,772,B772,B772,777-222ER,269.0,2000-12-18,2000-12-18,2001-01-10,2001-01-10,Boeing 777-200,2.0,Jet,False,Boeing 777,23.9,True,1,"[{'reg': 'N218UA', 'active': True, 'hexIcao': 'A1D8FD', 'airlineName': 'United Airlines', 'registrationDate': '2001-01-10'}]"
DAL699_20191006,DAL699,DL699,ad2af2,N948AT,B712,KHSV,KATL,KATL,,,,,,,,,22235,True,55011,AD2AF2,Delta Air Lines,717,B717,B717,B717-2BD,110.0,,,1999-12-22,2015-08-07,Boeing 717,2.0,Jet,False,Boeing 717,24.9,True,2,"[{'reg': 'N948AT', 'active': True, 'hexIcao': 'AD2AF2', 'airlineName': 'Delta Air Lines', 'registrationDate': '2015-08-07'}, {'reg': 'N948AT', 'active': False, 'hexIcao': 'AD2AF2', 'airlineName': 'AirTran', 'registrationDate': '1999-12-22'}]"
RYR68UM_20191007,RYR68UM,FR3532,4cabc2,EI-FRT,B738,EHEH,EDSB,LEPA,EDSB,unclear,unclear,unknown,,,,,19611,False,44740,4CABC2,Ryanair,738,B738,B738,B737-8AS,189.0,2016-05-22,2016-05-22,2016-05-27,2016-05-26,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,8.5,True,2,"[{'reg': '9H-QCX', 'active': True, 'hexIcao': '4D222C', 'airlineName': 'Malta Air', 'registrationDate': '2019-12-09'}, {'reg': 'EI-FRT', 'active': False, 'hexIcao': '4CABC2', 'airlineName': 'Ryanair', 'registrationDate': '2016-05-26'}]"
AEE4258_20191007,AEE4258,A34258,4690e2,SX-DGB,A320,LGIR,LFLL,LFRG,LFLL,unclear,diverted,unknown,,,,,18175,True,4165,4690E2,Aegean Airlines,320,A320,A320,320-232,174.0,2009-12-15,2009-12-15,2010-01-19,2010-01-19,Airbus A320,2.0,Jet,False,Airbus A320,14.9,True,1,"[{'reg': 'SX-DGB', 'active': True, 'hexIcao': '4690E2', 'airlineName': 'Aegean Airlines', 'registrationDate': '2010-01-19'}]"
AAL1612_20191008,AAL1612,AA1612,ac90a8,N909AN,B738,KGSP,KDFW,KDFW,,,,,,,,,9498,True,29511,AC90A8,American Airlines,738,B738,B738,737-823,160.0,1999-05-06,1999-05-06,1999-05-19,1999-05-19,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,25.5,True,1,"[{'reg': 'N909AN', 'active': True, 'hexIcao': 'AC90A8', 'airlineName': 'American Airlines', 'registrationDate': '1999-05-19'}]"
JES3422_20191011,JES3422,WJ3422,e0958f,LV-IVO,A320,SADP,,SAME,,,,,,,,,84084,True,8838,E0958F,JetSMART Argentina,320,A320,A320,320-232,186.0,2019-03-19,,,2019-04-01,Airbus A320,2.0,Jet,False,Airbus A320,5.7,True,1,"[{'reg': 'LV-IVO', 'active': True, 'hexIcao': 'E0958F', 'airlineName': 'JetSMART Argentina', 'registrationDate': '2019-04-01'}]"
NKS565_20191011,NKS565,NK565,a7debf,N606NK,A320,KDTW,KATL,KATL,,,,,,,,,19936,True,4592,A7DEBF,Spirit Airlines,320,A320,A320,320-232,182.0,2011-01-27,2011-01-27,2011-02-23,2011-02-23,Airbus A320,2.0,Jet,False,Airbus A320,13.8,True,1,"[{'reg': 'N606NK', 'active': True, 'hexIcao': 'A7DEBF', 'airlineName': 'Spirit Airlines', 'registrationDate': '2011-02-23'}]"
UAE734_20191012,UAE734,EK734,8963d5,A6-EPF,B77W,HSSS,OMDB,OMDB,,unclear,planned,unknown,,,,,18632,True,42325,8963D5,Emirates,777,B777,B773,B777-31HER,360.0,2015-10-29,2015-10-29,2015-11-21,2015-11-21,Boeing 777,2.0,Jet,False,Boeing 777,9.1,True,1,"[{'reg': 'A6-EPF', 'active': True, 'hexIcao': '8963D5', 'airlineName': 'Emirates', 'registrationDate': '2015-11-21'}]"
UPS801_20191013,UPS801,5X801,a4dd5e,N412UP,B752,KSAT,KSDF,KSDF,,,,,,,,,5844,True,23852,A4DD5E,UPS,752,B752,B752,757-24APF,,1988-09-16,1988-09-16,1988-09-30,1988-09-30,Boeing 757-200,2.0,Jet,True,Boeing 757,36.2,True,1,"[{'reg': 'N412UP', 'active': True, 'hexIcao': 'A4DD5E', 'airlineName': 'UPS', 'registrationDate': '1988-09-30'}]"
BAW548_20191014,BAW548,BA548,400ceb,G-EUXI,A321,EGLL,EGLL,LIRF,EGLL,technical,return,unknown,,,,,6653,True,2536,400CEB,British Airways,321,A321,A321,321-231,218.0,2005-07-26,2005-07-26,2005-08-05,2005-08-05,Airbus A321,2.0,Jet,False,Airbus A321,19.3,True,1,"[{'reg': 'G-EUXI', 'active': True, 'hexIcao': '400CEB', 'airlineName': 'British Airways', 'registrationDate': '2005-08-05'}]"
JIA5437_20191014,JIA5437,AA5437,a70812,N552NN,CRJ9,KCLT,KGRR,KGRR,,,,,,,,,2117664,True,15328,A70812,PSA Airlines,CR9,CRJ9,CRJ9,CRJ-900LR,76.0,,,2014-08-26,2014-08-26,Canadair CRJ 900,2.0,Jet,False,Canadair CRJ 900,10.2,True,1,"[{'reg': 'N552NN', 'active': True, 'hexIcao': 'A70812', 'airlineName': 'PSA Airlines', 'registrationDate': '2014-08-26'}]"
UAL1090_20191014,UAL1090,UA1090,abacd2,N851UA,A319,KIAH,,MMMX,,,,,,,,,3069,True,1664,ABACD2,United Airlines,319,A319,A319,319-131,126.0,2002-02-25,2002-02-25,2002-03-13,2002-03-13,Airbus A319,2.0,Jet,False,Airbus A319,22.7,True,1,"[{'reg': 'N851UA', 'active': True, 'hexIcao': 'ABACD2', 'airlineName': 'United Airlines', 'registrationDate': '2002-03-13'}]"
VLG12AV_20191015,VLG12AV,VY1241,345107,EC-MJC,A320,LEAL,LFRS,EGFF,LFRS,medical,diverted,unknown,,,,,25246,True,6841,345107,Vueling,320,A320,A320,320-232,186.0,2015-11-06,2015-11-06,2015-12-04,2015-12-04,Airbus A320,2.0,Jet,False,Airbus A320,9.0,True,1,"[{'reg': 'EC-MJC', 'active': True, 'hexIcao': '345107', 'airlineName': 'Vueling', 'registrationDate': '2015-12-04'}]"
EZY58WD_20191015,EZY58WD,U22454,4010ee,G-EZBZ,A319,LICJ,EGGW,EGGW,,unclear,unclear,unknown,,,,,11225,True,3184,4010EE,easyJet,319,A319,A319,319-111,156.0,2007-06-25,2007-06-25,2007-07-13,2007-07-13,Airbus A319,2.0,Jet,False,Airbus A319,17.4,True,1,"[{'reg': 'G-EZBZ', 'active': True, 'hexIcao': '4010EE', 'airlineName': 'easyJet', 'registrationDate': '2007-07-13'}]"
